date,txn_id,customer_id,customer_name,customer_type,product,sub_product,geography,channel,units,unit_price,discount,net_revenue,cogs
2024-02-15,T00001,C001,Helios Dynamics,Enterprise,Cloud,AI Infrastructure,Americas,direct,570.7317,2.05,46.8,1123.2,561.6
2024-02-15,T00002,C002,VantaCore AI,Enterprise,Cloud,AI Infrastructure,EMEA,direct,466.0976,2.05,38.22,917.28,458.64
2024-02-15,T00003,C003,Corex Systems,Enterprise,Cloud,AI Infrastructure,APAC,partner,356.7073,2.05,29.25,702.0,351.0
2024-02-15,T00004,C004,Northwind Systems,Enterprise,Cloud,AI Infrastructure,Americas,direct,110.6265,2.05,9.0714,217.7129,108.8565
2024-02-15,T00005,C005,Bluepeak Media,Enterprise,Cloud,AI Infrastructure,Americas,direct,104.5663,2.05,8.5744,205.7866,102.8933
2024-02-15,T00006,C006,Atlas Group,Enterprise,Cloud,AI Infrastructure,EMEA,partner,113.2754,2.05,9.2886,222.926,111.463
2024-02-15,T00007,C007,Ridgeline Robotics,Enterprise,Cloud,AI Infrastructure,APAC,direct,111.2429,2.05,9.1219,218.9261,109.4631
2024-02-15,T00008,C008,Solent Logistics,Enterprise,Cloud,AI Infrastructure,Americas,direct,111.4824,2.05,9.1416,219.3974,109.6987
2024-02-15,T00009,C009,Kestrel Mobility,Enterprise,Cloud,Data Platform,Americas,partner,104.9166,2.05,8.6032,206.4759,103.2379
2024-02-15,T00010,C010,Marrow Bank,Enterprise,Cloud,Data Platform,EMEA,direct,108.1916,2.05,8.8717,212.921,106.4605
2024-02-15,T00011,C011,Quill Labs,Enterprise,Cloud,Data Platform,APAC,direct,107.3922,2.05,8.8062,211.3479,105.6739
2024-02-15,T00012,C012,Harbor Energy,Enterprise,Cloud,Data Platform,Americas,partner,112.8182,2.05,9.2511,222.0262,111.0131
2024-02-15,T00013,C013,Vector Health,Mid-market,Cloud,AI Infrastructure,Americas,direct,120.8461,1.45,3.5045,171.7224,85.8612
2024-02-15,T00014,C014,Lumen Foods,Mid-market,Cloud,AI Infrastructure,EMEA,direct,130.417,1.45,3.7821,185.3226,92.6613
2024-02-15,T00015,C015,Praxis Retail,Mid-market,Cloud,AI Infrastructure,APAC,partner,102.3276,1.45,2.9675,145.4075,72.7037
2024-02-15,T00016,C016,Onyx Systems,Mid-market,Cloud,AI Infrastructure,Americas,direct,75.971,1.45,2.2032,107.9548,53.9774
2024-02-15,T00017,C017,Cinder Media,Mid-market,Cloud,Data Platform,Americas,direct,113.8904,1.45,3.3028,161.8383,80.9191
2024-02-15,T00018,C018,Fable Group,Mid-market,Cloud,Data Platform,EMEA,partner,59.3239,1.45,1.7204,84.2992,42.1496
2024-02-15,T00019,C019,Granite Robotics,Mid-market,Cloud,Data Platform,APAC,direct,130.6685,1.45,3.7894,185.6799,92.8399
